INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182070945,619,Larceny,LARCENY ALL OTHERS,D14,808,,02-09-2018 13:00,2018,9,Sunday,13,Part One,LINCOLN ST,42.35779134,-71.13937053,"(42.35779134, -71.13937053)"
I182070943,1402,Vandalism,VANDALISM,C11,347,,21-08-2018 00:00,2018,8,Tuesday,0,Part Two,HECLA ST,42.30682138,-71.06030035,"(42.30682138, -71.06030035)"
I182070941,3410,Towed,TOWED MOTOR VEHICLE,D4,151,,03-09-2018 19:27,2018,9,Monday,19,Part Three,CAZENOVE ST,42.34658879,-71.07242943,"(42.34658879, -71.07242943)"
I182070940,3114,Investigate Property,INVESTIGATE PROPERTY,D4,272,,03-09-2018 21:16,2018,9,Monday,21,Part Three,NEWCOMB ST,42.33418175,-71.07866441,"(42.33418175, -71.07866441)"
I182070938,3114,Investigate Property,INVESTIGATE PROPERTY,B3,421,,03-09-2018 21:05,2018,9,Monday,21,Part Three,DELHI ST,42.27536542,-71.09036101,"(42.27536542, -71.09036101)"
I182070936,3820,Motor Vehicle Accident Response,M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY,C11,398,,03-09-2018 21:09,2018,9,Monday,21,Part Three,TALBOT AVE,42.29019621,-71.07159012,"(42.29019621, -71.07159012)"
I182070933,724,Auto Theft,AUTO THEFT,B2,330,,03-09-2018 21:25,2018,9,Monday,21,Part One,NORMANDY ST,42.30607218,-71.0827326,"(42.30607218, -71.08273260)"
I182070932,3301,Verbal Disputes,VERBAL DISPUTE,B2,584,,03-09-2018 20:39,2018,9,Monday,20,Part Three,LAWN ST,42.32701648,-71.10555088,"(42.32701648, -71.10555088)"
I182070931,301,Robbery,ROBBERY - STREET,C6,177,,03-09-2018 20:48,2018,9,Monday,20,Part One,MASSACHUSETTS AVE,42.33152148,-71.07085307,"(42.33152148, -71.07085307)"
I182070929,3301,Verbal Disputes,VERBAL DISPUTE,C11,364,,03-09-2018 20:38,2018,9,Monday,20,Part Three,LESLIE ST,42.29514664,-71.05860832,"(42.29514664, -71.05860832)"
I182070928,3301,Verbal Disputes,VERBAL DISPUTE,C6,913,,03-09-2018 19:55,2018,9,Monday,19,Part Three,OCEAN VIEW DR,42.31957856,-71.04032766,"(42.31957856, -71.04032766)"
